Subject,Catalog Number,Title,Topic,Campus
ACTSC,221,Intro Fin Math (Non-Spec),,UW
ACTSC,231,Intro Financial Mathematics,,UW
ACTSC,232,Life Contingencies 1,,UW
ACTSC,331,Life Contingencies 2,,UW
ACTSC,362,Intro Prop & Casualty Practice,,UW
ACTSC,363,Casualty & Hlth Ins Math 1,,UW
ACTSC,372,Investment Sci & Corporate Fin,,UW
ACTSC,431,Casualty & Hlth Insur Math 2,,UW
ACTSC,446,Math of Financial Markets,,UW
ACTSC,453,Basic Pension Mathematics,,UW
ACTSC,454,Longevity & Mortality Using PA,,UW
ACTSC,455,Life Contingencies 3,,BLND
ACTSC,489,Advanced Topics,Predictive Modelling in P&C,UW
AE,200,Enclosure Design Studio,,UW
AE,204,Solid Mechanics 1,,UW
AE,221,Advanced Calculus,,UW
AE,224,Probability & Statistics,,UW
AE,280,Fluid Mechanics & Thermal Sci,,UW
AE,298,Seminar,,UW
AE,301,Building Enclosure Systems,,UW
AE,310,Intro Structural Design,,UW
AE,315,Building Structural Systems,,UW
AE,325,Architectural Eng Studio 2,,UW
AE,392,Econ & Life Cycle Cost Anal,,UW
AE,399,Seminar,,UW
AE,425,Project Studio 2,,UW
AE,495,Topics: Design Intensive,Air Quality Enginrng & Impacts,UW
AE,499,Seminar,,UW
AE,573,"HVAC System, Equip, Efficiency",,UW
AFM,101,Intro Financial Accounting,,ONLN
AFM,102,Intro Managerial Accounting,,ONLN
AFM,111,Prof Pathways & Prob-Solving,,BLND
AFM,112,Analytic Methods for Bus 1,,BLND
AFM,113,Analytic Methods for Bus 2,,UW
AFM,121,Intro Global Financial Markets,,BLND
AFM,123,Accounting Info for Managers,,UW
AFM,127,Intro Global Capital Markets,,BLND
AFM,131,Intro North American Bus,,ONLN
AFM,182,Foundations: Mgmt Accounting,,UW
AFM,191,Foundations: Finance Reporting,,BLND
AFM,231,Business Law,,UW
AFM,321,Pers Financial Planning & Tax,,UW
AFM,322,Derivative Securities,,UW
AFM,323,Quantitative Foundations,,UW
AFM,326,Student Venture Fund: Analyst,,UW
AFM,328,Investm Mgmt: Jr Analyst,,UW
AFM,329,Investm Mgmt: Sr Analyst,,UW
AFM,333,International Business,,BLND
AFM,334,International Study Experience,,OFF
AFM,341,Accounting Information Systems,,UW
AFM,345,Social Media Analytics in Bus,,UW
AFM,346,Predictive Analytics Applic,,UW
AFM,347,Cybersecurity,,UW
AFM,373,Corporate Fin: Cases & Applic,,UW
AFM,382,Cost Management Systems,,UW
AFM,423,Topics in Fin Econometrics,,UW
AFM,424,Equity Investments,,UW
AFM,425,Fixed Income Securities,,UW
AFM,426,Student Venture Fund: Assoc,,UW
AFM,428,Investm Mgmt: Jr Portfolio Mgr,,UW
AFM,429,Investm Mgmt: Sr Portfolio Mgr,,UW
AFM,433,Business Strategy,,UW
AFM,451,Audit Strategy,,UW
AFM,476,Corporate Fin Decision Making,,UW
AFM,477,Mergers & Acquisitions,,UW
AFM,480,Intro Org Behaviour,,BLND
AFM,491,Advanced Financial Accounting,,UW
AMATH,231,Calculus 4,,UW
AMATH,242,Intro Computational Math,,UW
AMATH,250,Intro Differential Equations,,UW
AMATH,250,Intro Differential Equations,,ONLN
AMATH,251,Intro Diff Equations (Adv),,UW
AMATH,331,Applied Real Analysis,,UW
AMATH,332,Applied Complex Analysis,,UW
AMATH,342,Comp Methods: Diff Eq,,UW
AMATH,350,Diff Eq (Bus & Econ),,UW
AMATH,353,Partial Diff Equations 1,,UW
AMATH,361,Continuum Mechanics,,UW
AMATH,373,Quantum Theory 1,,UW
AMATH,383,Intro Mathematical Biology,,UW
AMATH,451,Intro to Dynamical Systems,,UW
AMATH,455,Control Theory,,UW
AMATH,474,Quantum Theory 3,,UW
AMATH,475,Intro General Relativity,,UW
AMATH,495,Reading Course,The Mathematics of Climt Chng,UW
AMATH,495,Reading Course,Mathematics of Deep Learning,UW
ANTH,100,Intro Anthropology,,UW
ANTH,100,Intro Anthropology,,ONLN
ANTH,201,Intro Archaeology,,ONLN
ANTH,202,Social & Cultural Anthropology,,UW
ANTH,204,Biological Anthropology,,UW
ANTH,290,Visual Anthropology,,BLND
ANTH,305,Paleopathology,,UW
ANTH,312,Muslim Lives & Practices,,UW
ANTH,320,Hunter-Gatherer Archaeology,,ONLN
ANTH,389,Special Topics,Visual Anthropology,UW
ANTH,489,Special Topics,Muslim Lives & Practices,UW
ANTH,489,Special Topics,Hunter-Gatherer Archaeology,ONLN
ANTH,499A,Honours Essay,,UW
ANTH,499B,Honours Essay,,UW
ANTH,499B,Honours Essay,,UW
APPLS,304R,Language Teaching Methods,,BLNDR
APPLS,306R,Language Assessment & Testing,,BLNDR
ARABIC,101R,Intro Arabic 1,,ONLNR
ARABIC,102R,Intro Arabic 2,,ONLNR
ARBUS,102,Accounting Info for Managers,,UW
ARBUS,200,Entrepreneurship,,UW
ARBUS,202,Professional & Business Ethics,,UW
ARBUS,202,Professional & Business Ethics,,STJ
ARBUS,300,Practical Business Skills,,UW
ARBUS,301,International Business,,BLND
ARBUS,302,Principles of Marketing,,UW
ARBUS,302,Principles of Marketing,,ONLN
ARBUS,303,Marketing Strategy,,UW
ARBUS,400,Strategy & Program Integration,,UW
ARCH,113,Visual & Digital Media 2,,UW
ARCH,126,Environmental Building Design,,UW
